Attrition Date,Age,Attrition,BusinessTravel,Department,Education,EmployeeCount,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PerformanceRating
,29,No,Travel_Rarely,Research & Development,Master's Degree,1,20,Female,Manufacturing Director,1,Divorced,9980,10195,1,No,3
,32,No,Travel_Rarely,Research & Development,Associates Degree,1,21,Male,Research Scientist,2,Divorced,3298,15053,0,Yes,3
,22,No,Non-Travel,Research & Development,Associates Degree,1,22,Male,Laboratory Technician,4,Divorced,2935,7324,1,Yes,3
,53,No,Travel_Rarely,Sales,Master's Degree,1,23,Female,Manager,4,Married,15427,22021,2,No,3
,38,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,24,Male,Research Scientist,4,Single,3944,4306,5,Yes,3
,24,No,Non-Travel,Research & Development,Associates Degree,1,26,Female,Manufacturing Director,3,Divorced,4011,8232,0,No,3
1/16/2022 12:00:00 AM,36,Yes,Travel_Rarely,Sales,Master's Degree,1,27,Male,Sales Representative,1,Single,3407,6986,7,No,4
,34,No,Travel_Rarely,Research & Development,Master's Degree,1,28,Female,Research Director,2,Single,11994,21293,0,No,3
,21,No,Travel_Rarely,Research & Development,Associates Degree,1,30,Male,Research Scientist,4,Single,1232,19281,1,No,3
04-01-2022 00:00,34,Yes,Travel_Rarely,Research & Development,High School,1,31,Male,Research Scientist,1,Single,2960,17102,2,No,3
,53,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,32,Female,Manager,3,Divorced,19094,10735,4,No,3
10/13/2021 12:00:00 AM,32,Yes,Travel_Frequently,Research & Development,High School,1,33,Female,Research Scientist,1,Single,3919,4681,1,Yes,4
,42,No,Travel_Rarely,Sales,Master's Degree,1,35,Male,Sales Executive,2,Married,6825,21173,0,No,3
,44,No,Travel_Rarely,Research & Development,Master's Degree,1,36,Female,Healthcare Representative,4,Married,10248,2094,3,No,3
,46,No,Travel_Rarely,Sales,Master's Degree,1,38,Female,Manager,1,Single,18947,22822,3,No,3
,33,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,39,Male,Laboratory Technician,4,Single,2496,6670,4,No,3
,44,No,Travel_Rarely,Research & Development,Master's Degree,1,40,Male,Healthcare Representative,4,Married,6465,19121,2,Yes,3
,30,No,Travel_Rarely,Research & Development,Associates Degree,1,41,Male,Laboratory Technician,3,Single,2206,16117,1,No,3
2/22/2022 12:00:00 AM,39,Yes,Travel_Rarely,Sales,Bachelor's Degree,1,42,Male,Sales Representative,4,Married,2086,3335,3,No,3
05-06-2022 00:00,24,Yes,Travel_Rarely,Research & Development,Bachelor's Degree,1,45,Male,Research Scientist,4,Married,2293,3020,2,Yes,3
,43,No,Travel_Rarely,Research & Development,Associates Degree,1,46,Female,Research Scientist,3,Divorced,2645,21923,1,No,3
4/16/2022 12:00:00 AM,50,Yes,Travel_Rarely,Sales,Associates Degree,1,47,Male,Sales Representative,3,Married,2683,3810,1,Yes,3
,35,No,Travel_Rarely,Sales,Bachelor's Degree,1,49,Female,Sales Representative,4,Married,2014,9687,1,No,3
,36,No,Travel_Rarely,Research & Development,Master's Degree,1,51,Female,Research Scientist,1,Married,3419,13072,9,Yes,3
,33,No,Travel_Frequently,Sales,Bachelor's Degree,1,52,Female,Sales Executive,1,Married,5376,3193,2,No,3
,35,No,Travel_Rarely,Research & Development,Associates Degree,1,53,Male,Laboratory Technician,4,Divorced,1951,10910,1,No,3
,27,No,Travel_Rarely,Research & Development,Master's Degree,1,54,Female,Laboratory Technician,1,Divorced,2341,19715,1,No,3
6/22/2021 12:00:00 AM,26,Yes,Travel_Rarely,Research & Development,Bachelor's Degree,1,55,Male,Laboratory Technician,3,Single,2293,10558,1,No,3
,27,No,Travel_Frequently,Sales,Bachelor's Degree,1,56,Male,Sales Executive,3,Single,8726,2975,1,No,3
,30,No,Travel_Frequently,Research & Development,Associates Degree,1,57,Female,Laboratory Technician,4,Single,4011,10781,1,No,4
11-02-2021 00:00,41,Yes,Travel_Rarely,Research & Development,Bachelor's Degree,1,58,Female,Research Director,3,Married,19545,16280,1,No,3
,34,No,Non-Travel,Sales,Master's Degree,1,60,Male,Sales Executive,3,Single,4568,10034,0,No,4
,37,No,Travel_Rarely,Research & Development,Associates Degree,1,61,Male,Research Scientist,2,Married,3022,10227,4,No,4
,46,No,Travel_Frequently,Sales,Master's Degree,1,62,Male,Sales Executive,4,Single,5772,20445,4,Yes,4
,35,No,Travel_Rarely,Research & Development,High School,1,63,Male,Laboratory Technician,4,Married,2269,4892,1,No,3
4/30/2022 12:00:00 AM,48,Yes,Travel_Rarely,Research & Development,Associates Degree,1,64,Male,Laboratory Technician,3,Single,5381,19294,9,Yes,3
2/22/2022 12:00:00 AM,28,Yes,Travel_Rarely,Research & Development,Master's Degree,1,65,Male,Laboratory Technician,3,Single,3441,11179,1,Yes,3
,44,No,Travel_Rarely,Sales,Doctoral Degree,1,68,Female,Sales Executive,1,Divorced,5454,4009,5,Yes,4
,35,No,Non-Travel,Research & Development,Associates Degree,1,70,Male,Healthcare Representative,1,Married,9884,8302,2,Yes,3
,26,No,Travel_Rarely,Sales,Bachelor's Degree,1,72,Female,Sales Executive,4,Married,4157,21436,7,Yes,3
,33,No,Travel_Frequently,Research & Development,Associates Degree,1,73,Female,Research Director,4,Single,13458,15146,1,Yes,3
,35,No,Travel_Frequently,Sales,Doctoral Degree,1,74,Male,Sales Executive,1,Married,9069,11031,1,No,4
,35,No,Travel_Rarely,Research & Development,Master's Degree,1,75,Female,Laboratory Technician,1,Married,4014,16002,3,Yes,3
,31,No,Travel_Rarely,Research & Development,Master's Degree,1,76,Male,Laboratory Technician,4,Divorced,5915,9528,3,No,4
,37,No,Travel_Rarely,Research & Development,Master's Degree,1,77,Male,Manufacturing Director,3,Divorced,5993,2689,1,No,3
,32,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,78,Male,Manufacturing Director,4,Married,6162,10877,1,Yes,4
,38,No,Travel_Frequently,Research & Development,Doctoral Degree,1,79,Female,Laboratory Technician,4,Single,2406,5456,1,No,3
,50,No,Travel_Rarely,Research & Development,Associates Degree,1,80,Female,Research Director,3,Divorced,18740,16701,5,Yes,3
,59,No,Travel_Rarely,Sales,Bachelor's Degree,1,81,Female,Sales Executive,1,Single,7637,2354,7,No,3
,36,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,83,Female,Healthcare Representative,3,Divorced,10096,8202,1,No,3
,55,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,84,Female,Manager,3,Divorced,14756,19730,2,Yes,3
,36,No,Travel_Frequently,Research & Development,Bachelor's Degree,1,85,Male,Manufacturing Director,2,Single,6499,22656,1,No,3
,45,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,86,Male,Research Scientist,1,Divorced,9724,18787,2,No,3
,35,No,Travel_Frequently,Research & Development,Bachelor's Degree,1,88,Male,Research Scientist,1,Married,2194,5868,4,No,3
03-11-2022 00:00,36,Yes,Travel_Rarely,Research & Development,Bachelor's Degree,1,90,Male,Research Scientist,3,Married,3388,21777,0,Yes,3
,59,No,Travel_Frequently,Sales,High School,1,91,Female,Sales Executive,3,Single,5473,24668,7,No,3
,29,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,94,Male,Research Scientist,2,Married,2703,4956,0,No,4
,31,No,Travel_Rarely,Research & Development,Master's Degree,1,95,Male,Research Scientist,2,Single,2501,18775,1,No,3
,32,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,96,Male,Research Scientist,2,Married,6220,7346,1,No,3
,36,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,97,Female,Laboratory Technician,4,Married,3038,22002,3,No,3
,31,No,Travel_Rarely,Research & Development,Master's Degree,1,98,Female,Manufacturing Director,4,Single,4424,20682,1,No,4
,35,No,Travel_Rarely,Sales,Master's Degree,1,100,Male,Sales Executive,1,Single,4312,23016,0,No,3
,45,No,Travel_Rarely,Research & Development,Master's Degree,1,101,Male,Research Director,1,Married,13245,15067,4,Yes,3
,37,No,Travel_Rarely,Research & Development,Master's Degree,1,102,Male,Research Director,3,Single,13664,25258,4,No,3
,46,No,Travel_Rarely,Human Resources,Associates Degree,1,103,Male,Human Resources,2,Divorced,5021,10425,8,Yes,4
,30,No,Travel_Rarely,Research & Development,High School,1,104,Male,Laboratory Technician,4,Married,5126,15998,1,Yes,3
,35,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,105,Male,Research Scientist,3,Single,2859,26278,1,No,3
,55,No,Travel_Rarely,Sales,Associates Degree,1,106,Male,Sales Executive,4,Married,10239,18092,3,No,3
,38,No,Non-Travel,Research & Development,Bachelor's Degree,1,107,Female,Research Scientist,4,Divorced,5329,15717,7,Yes,3
,34,No,Travel_Rarely,Research & Development,Associates Degree,1,110,Male,Manufacturing Director,2,Married,4325,17736,1,No,3
,56,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,112,Male,Manufacturing Director,4,Single,7260,21698,4,No,3
,23,No,Travel_Rarely,Sales,High School,1,113,Male,Sales Representative,1,Divorced,2322,9518,3,No,3
,51,No,Travel_Rarely,Research & Development,Master's Degree,1,116,Male,Laboratory Technician,4,Married,2075,18725,3,No,4
,30,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,117,Male,Healthcare Representative,4,Married,4152,15830,1,No,3
03-11-2022 00:00,46,Yes,Travel_Rarely,Sales,Associates Degree,1,118,Male,Sales Executive,4,Single,9619,13596,1,No,3
,40,No,Travel_Frequently,Research & Development,Master's Degree,1,119,Male,Healthcare Representative,2,Married,13503,14115,1,No,4
,51,No,Travel_Rarely,Sales,Master's Degree,1,120,Male,Sales Executive,4,Single,5441,8423,0,Yes,4
,30,No,Travel_Rarely,Sales,Associates Degree,1,121,Female,Sales Executive,2,Divorced,5209,19760,1,Yes,3
,46,No,Travel_Frequently,Research & Development,Bachelor's Degree,1,124,Male,Healthcare Representative,1,Married,10673,3142,2,Yes,3
,32,No,Travel_Rarely,Sales,Master's Degree,1,125,Male,Sales Executive,3,Single,5010,24301,1,No,3
,54,No,Travel_Rarely,Research & Development,Master's Degree,1,126,Female,Research Director,3,Married,13549,24001,9,No,3
,24,No,Travel_Rarely,Sales,Associates Degree,1,128,Female,Sales Executive,3,Married,4999,17519,0,No,4
,28,No,Non-Travel,Sales,Bachelor's Degree,1,129,Male,Sales Executive,3,Married,4221,8863,1,No,3
,58,No,Travel_Rarely,Sales,Master's Degree,1,131,Male,Sales Executive,3,Single,13872,24409,0,No,3
,44,No,Non-Travel,Research & Development,Bachelor's Degree,1,132,Male,Laboratory Technician,2,Married,2042,25043,4,No,3
02-12-2022 00:00,37,Yes,Travel_Rarely,Human Resources,Master's Degree,1,133,Male,Human Resources,1,Divorced,2073,23648,4,Yes,4
,32,No,Travel_Rarely,Research & Development,High School,1,134,Male,Research Scientist,1,Single,2956,15178,1,No,3
2/20/2022 12:00:00 AM,20,Yes,Travel_Frequently,Research & Development,Bachelor's Degree,1,137,Female,Laboratory Technician,4,Single,2926,19783,1,Yes,3
,34,No,Travel_Rarely,Research & Development,Master's Degree,1,138,Female,Research Scientist,3,Single,4809,12482,1,No,3
,37,No,Non-Travel,Research & Development,Associates Degree,1,139,Male,Healthcare Representative,4,Divorced,5163,15850,5,No,3
,59,No,Non-Travel,Human Resources,Master's Degree,1,140,Female,Manager,4,Married,18844,21922,9,No,4
,50,No,Travel_Frequently,Research & Development,Bachelor's Degree,1,141,Female,Research Director,2,Married,18172,9755,3,Yes,3
3/29/2022 12:00:00 AM,25,Yes,Travel_Rarely,Sales,Bachelor's Degree,1,142,Male,Sales Executive,3,Single,5744,26959,1,Yes,3
,25,No,Travel_Rarely,Research & Development,High School,1,143,Male,Research Scientist,4,Married,2889,26897,1,No,3
,22,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,144,Female,Laboratory Technician,4,Single,2871,23785,1,No,3
,51,No,Travel_Frequently,Research & Development,Master's Degree,1,145,Female,Healthcare Representative,1,Single,7484,25796,3,No,4
02-07-2022 00:00,34,Yes,Travel_Frequently,Research & Development,Bachelor's Degree,1,147,Male,Laboratory Technician,3,Single,6074,22887,1,Yes,4
,54,No,Non-Travel,Human Resources,Bachelor's Degree,1,148,Female,Manager,4,Single,17328,13871,2,Yes,3
,24,No,Travel_Rarely,Research & Development,High School,1,150,Male,Laboratory Technician,3,Married,2774,13257,0,No,3
,34,No,Travel_Rarely,Research & Development,Master's Degree,1,151,Female,Research Scientist,2,Divorced,4505,15000,6,No,3
,37,No,Travel_Rarely,Sales,Bachelor's Degree,1,152,Male,Sales Executive,4,Single,7428,14506,2,No,3
,34,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,153,Female,Manager,1,Single,11631,5615,2,No,3
,36,No,Travel_Frequently,Sales,Associates Degree,1,154,Female,Sales Executive,4,Married,9738,22952,0,No,3
,36,No,Travel_Rarely,Research & Development,Associates Degree,1,155,Female,Laboratory Technician,4,Divorced,2835,2561,5,No,4
,43,No,Travel_Frequently,Sales,Associates Degree,1,158,Male,Manager,4,Married,16959,19494,1,Yes,3
,30,No,Travel_Frequently,Research & Development,Bachelor's Degree,1,159,Male,Research Scientist,3,Divorced,2613,22310,1,No,4
,33,No,Non-Travel,Sales,Associates Degree,1,160,Male,Sales Executive,2,Married,6146,15480,0,No,3
11-12-2021 00:00,56,Yes,Travel_Rarely,Research & Development,Master's Degree,1,161,Female,Research Scientist,2,Married,4963,4510,9,Yes,3
,51,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,162,Male,Research Director,3,Single,19537,6462,7,No,3
2/24/2022 12:00:00 AM,31,Yes,Travel_Rarely,Sales,Master's Degree,1,163,Male,Sales Executive,3,Married,6172,20739,4,Yes,3
,26,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,164,Female,Research Scientist,2,Married,2368,23300,1,No,3
12-03-2021 00:00,58,Yes,Travel_Rarely,Research & Development,Master's Degree,1,165,Female,Healthcare Representative,4,Married,10312,3465,1,No,3
10/27/2021 12:00:00 AM,19,Yes,Travel_Rarely,Sales,High School,1,167,Male,Sales Representative,3,Single,1675,26820,1,Yes,3
,22,No,Travel_Rarely,Research & Development,High School,1,169,Male,Laboratory Technician,4,Married,2523,19299,0,No,3
,49,No,Travel_Rarely,Research & Development,Master's Degree,1,170,Female,Manufacturing Director,1,Married,6567,5549,1,No,3
,43,No,Travel_Frequently,Research & Development,Bachelor's Degree,1,171,Female,Research Scientist,3,Single,4739,16090,4,No,3
,50,No,Travel_Frequently,Sales,Bachelor's Degree,1,174,Female,Sales Executive,4,Single,9208,6645,4,No,3
8/26/2021 12:00:00 AM,31,Yes,Travel_Rarely,Sales,Bachelor's Degree,1,175,Female,Sales Executive,3,Married,4559,24788,3,Yes,3
,41,No,Travel_Rarely,Sales,High School,1,176,Male,Sales Executive,3,Divorced,8189,21196,3,Yes,3
,26,No,Travel_Rarely,Human Resources,High School,1,177,Female,Human Resources,3,Married,2942,8916,1,No,4
,36,No,Travel_Rarely,Research & Development,Associates Degree,1,178,Male,Manufacturing Director,2,Divorced,4941,2819,6,No,4
1/25/2022 12:00:00 AM,51,Yes,Travel_Frequently,Research & Development,Master's Degree,1,179,Male,Manufacturing Director,4,Single,10650,25150,2,No,3
,39,No,Travel_Rarely,Sales,Master's Degree,1,182,Female,Sales Executive,3,Married,5902,14590,4,No,3
,25,No,Travel_Rarely,Sales,Bachelor's Degree,1,183,Male,Sales Executive,3,Married,8639,24835,2,No,3
,30,No,Travel_Rarely,Human Resources,Bachelor's Degree,1,184,Male,Human Resources,4,Married,6347,13982,0,Yes,3
03-11-2022 00:00,32,Yes,Travel_Rarely,Research & Development,Bachelor's Degree,1,190,Female,Laboratory Technician,1,Single,4200,10224,7,No,4
,45,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,192,Male,Research Scientist,4,Single,3452,9752,5,No,3
,38,No,Travel_Rarely,Research & Development,Doctoral Degree,1,193,Female,Research Scientist,3,Single,4317,2302,3,Yes,4
,30,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,194,Female,Research Scientist,3,Single,2632,23910,1,No,3
,32,No,Travel_Frequently,Sales,Associates Degree,1,195,Male,Sales Executive,4,Divorced,4668,22812,0,No,3
,30,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,197,Female,Research Scientist,1,Divorced,3204,10415,5,No,3
,30,No,Travel_Rarely,Research & Development,High School,1,198,Male,Laboratory Technician,4,Single,2720,11162,0,No,3
,41,No,Travel_Frequently,Research & Development,Bachelor's Degree,1,199,Male,Manager,1,Divorced,17181,12888,4,No,3
,41,No,Travel_Rarely,Research & Development,Master's Degree,1,200,Male,Laboratory Technician,1,Married,2238,6961,2,No,4
,19,No,Travel_Rarely,Research & Development,High School,1,201,Female,Laboratory Technician,2,Single,1483,16102,1,No,3
,40,No,Travel_Frequently,Research & Development,Bachelor's Degree,1,202,Female,Research Scientist,2,Divorced,5605,8504,1,No,3
,35,No,Travel_Rarely,Sales,Doctoral Degree,1,204,Male,Sales Executive,2,Married,7295,11439,1,No,3
,53,No,Travel_Rarely,Sales,Associates Degree,1,205,Male,Sales Representative,3,Married,2306,16047,2,Yes,4
,45,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,206,Male,Laboratory Technician,2,Divorced,2348,10901,8,No,3
,32,No,Travel_Frequently,Sales,Bachelor's Degree,1,207,Female,Sales Executive,4,Single,8998,15589,1,No,3
,29,No,Non-Travel,Research & Development,High School,1,208,Male,Manufacturing Director,3,Married,4319,26283,1,No,3
,51,No,Travel_Rarely,Research & Development,Master's Degree,1,211,Male,Manufacturing Director,3,Married,6132,13983,2,No,3
,58,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,214,Female,Research Scientist,2,Married,3346,11873,4,Yes,4
,40,No,Travel_Rarely,Sales,Master's Degree,1,215,Male,Sales Executive,4,Married,10855,8552,7,No,3
,34,No,Travel_Frequently,Sales,Master's Degree,1,216,Female,Sales Representative,3,Married,2231,11314,6,No,3
,22,No,Travel_Rarely,Research & Development,High School,1,217,Male,Research Scientist,4,Married,2323,11992,1,No,4
,27,No,Non-Travel,Research & Development,Bachelor's Degree,1,218,Male,Research Scientist,2,Divorced,2024,5970,6,No,3
,28,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,221,Male,Research Scientist,4,Married,2713,6672,1,No,3
,57,No,Travel_Rarely,Research & Development,Associates Degree,1,223,Male,Healthcare Representative,4,Divorced,9439,23402,3,Yes,3
,27,No,Non-Travel,Research & Development,Bachelor's Degree,1,224,Male,Research Scientist,3,Divorced,2566,25326,1,Yes,3
,50,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,226,Female,Manager,2,Single,19926,17053,3,No,3
,41,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,227,Male,Research Scientist,3,Divorced,2451,4609,4,No,3
,30,No,Travel_Rarely,Sales,Bachelor's Degree,1,228,Female,Sales Executive,4,Married,9419,8053,2,No,3
,38,No,Travel_Rarely,Sales,Master's Degree,1,230,Female,Sales Executive,4,Single,8686,12930,4,No,4
,32,No,Travel_Rarely,Research & Development,Doctoral Degree,1,231,Male,Research Scientist,3,Single,3038,12430,3,No,4
,27,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,233,Male,Research Scientist,2,Married,3058,13364,0,Yes,3
4/23/2022 12:00:00 AM,19,Yes,Travel_Frequently,Sales,High School,1,235,Female,Sales Representative,1,Single,2325,20989,0,No,4
,36,No,Travel_Frequently,Research & Development,Associates Degree,1,238,Male,Laboratory Technician,2,Single,2088,15062,4,No,3
,30,No,Non-Travel,Research & Development,Bachelor's Degree,1,239,Male,Laboratory Technician,1,Divorced,3072,11012,1,No,3
,45,No,Travel_Rarely,Sales,Associates Degree,1,240,Female,Sales Executive,1,Divorced,5006,6319,4,Yes,3
,56,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,241,Female,Research Scientist,1,Divorced,4257,13939,4,Yes,3
,33,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,242,Male,Research Scientist,4,Single,2500,10515,0,No,3
4/17/2022 12:00:00 AM,19,Yes,Travel_Rarely,Research & Development,Bachelor's Degree,1,243,Male,Laboratory Technician,4,Single,1102,9241,1,No,4
,46,No,Travel_Rarely,Sales,Associates Degree,1,244,Female,Sales Executive,1,Divorced,10453,2137,1,No,4
,38,No,Travel_Rarely,Research & Development,Associates Degree,1,245,Female,Laboratory Technician,4,Single,2288,6319,1,No,3
,31,No,Travel_Rarely,Research & Development,High School,1,246,Female,Research Scientist,4,Married,3929,6984,8,Yes,4
,34,No,Travel_Rarely,Research & Development,Associates Degree,1,247,Female,Research Scientist,2,Single,2311,5711,2,No,3
11/14/2021 12:00:00 AM,41,Yes,Travel_Rarely,Sales,Associates Degree,1,248,Female,Sales Representative,2,Single,3140,21728,1,Yes,4
,50,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,249,Male,Laboratory Technician,3,Married,3690,3425,2,No,3
,53,No,Travel_Rarely,Research & Development,Associates Degree,1,250,Female,Manufacturing Director,1,Divorced,4450,26250,1,No,3
,33,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,252,Female,Research Scientist,2,Married,2756,4673,1,No,3
,40,No,Travel_Rarely,Research & Development,High School,1,253,Female,Manager,3,Married,19033,6499,1,No,3
,55,No,Travel_Rarely,Research & Development,Master's Degree,1,254,Male,Research Director,2,Single,18722,13339,8,No,3
,34,No,Travel_Frequently,Research & Development,High School,1,256,Male,Manufacturing Director,3,Married,9547,14074,1,No,3
,51,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,258,Female,Healthcare Representative,2,Single,13734,7192,3,No,3
,52,No,Travel_Rarely,Research & Development,Master's Degree,1,259,Male,Manager,3,Married,19999,5678,0,No,3
,27,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,260,Female,Research Scientist,2,Single,2279,11781,1,No,3
7/18/2021 12:00:00 AM,35,Yes,Travel_Rarely,Research & Development,Associates Degree,1,261,Male,Manufacturing Director,3,Married,5916,15497,3,Yes,3
,43,No,Non-Travel,Research & Development,Bachelor's Degree,1,262,Male,Research Scientist,4,Divorced,2089,5228,4,No,3
,45,No,Non-Travel,Research & Development,Associates Degree,1,264,Male,Manager,4,Married,16792,20462,9,No,4
,37,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,267,Male,Research Scientist,1,Married,3564,22977,1,Yes,3
,35,No,Travel_Frequently,Research & Development,Bachelor's Degree,1,269,Female,Laboratory Technician,2,Single,4425,15986,5,No,3
,42,No,Non-Travel,Research & Development,Associates Degree,1,270,Female,Manufacturing Director,3,Divorced,5265,16439,2,No,3
,38,No,Travel_Rarely,Research & Development,Master's Degree,1,271,Male,Manufacturing Director,3,Married,6553,7259,9,No,3
,38,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,273,Male,Manufacturing Director,4,Married,6261,4185,3,No,3
,27,No,Travel_Frequently,Research & Development,High School,1,274,Male,Manufacturing Director,1,Married,4298,9679,5,No,3
,49,No,Non-Travel,Research & Development,Master's Degree,1,275,Male,Manufacturing Director,4,Divorced,6804,23793,1,Yes,3
,34,No,Travel_Frequently,Research & Development,Master's Degree,1,277,Male,Research Scientist,3,Divorced,3815,5972,1,Yes,3
,40,No,Travel_Rarely,Research & Development,Associates Degree,1,281,Male,Laboratory Technician,4,Married,2741,16523,8,Yes,3
10/22/2021 12:00:00 AM,38,Yes,Travel_Rarely,Research & Development,High School,1,282,Male,Healthcare Representative,1,Married,6673,11354,7,Yes,3
09-12-2021 00:00,29,Yes,Travel_Rarely,Sales,Bachelor's Degree,1,283,Female,Sales Executive,4,Married,7639,24525,1,No,4
,22,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,284,Male,Research Scientist,2,Divorced,2328,12392,1,Yes,3
,36,No,Travel_Frequently,Research & Development,High School,1,286,Female,Laboratory Technician,4,Single,2153,7703,1,No,3
,40,No,Non-Travel,Research & Development,Doctoral Degree,1,287,Male,Healthcare Representative,4,Married,4876,14242,9,No,3
,46,No,Travel_Rarely,Research & Development,Master's Degree,1,288,Male,Healthcare Representative,1,Divorced,9396,12368,7,No,3
4/15/2022 12:00:00 AM,32,Yes,Travel_Rarely,Sales,Master's Degree,1,291,Male,Sales Executive,4,Married,10400,25812,1,No,3
,30,No,Non-Travel,Research & Development,High School,1,292,Male,Manufacturing Director,3,Single,8474,20925,1,No,4
,27,No,Travel_Frequently,Sales,Bachelor's Degree,1,293,Female,Sales Executive,3,Single,9981,12916,1,No,3
,51,No,Travel_Rarely,Research & Development,Master's Degree,1,296,Male,Research Director,2,Married,12490,15736,5,No,3
3/26/2022 12:00:00 AM,30,Yes,Travel_Rarely,Research & Development,Bachelor's Degree,1,297,Female,Research Scientist,1,Single,2657,8556,5,Yes,3
,41,No,Travel_Rarely,Sales,Bachelor's Degree,1,298,Female,Manager,4,Single,13591,14674,3,Yes,3
9/17/2021 12:00:00 AM,30,Yes,Travel_Frequently,Sales,Master's Degree,1,299,Female,Sales Executive,1,Single,6696,22967,5,No,3
4/27/2022 12:00:00 AM,29,Yes,Travel_Rarely,Research & Development,Bachelor's Degree,1,300,Male,Research Scientist,3,Single,2058,19757,0,No,3
,45,No,Non-Travel,Sales,Bachelor's Degree,1,302,Female,Sales Executive,4,Single,8865,16840,6,No,3
,54,No,Travel_Rarely,Sales,Bachelor's Degree,1,303,Female,Sales Executive,1,Married,5940,17011,2,No,3
,36,No,Travel_Rarely,Research & Development,Associates Degree,1,304,Male,Laboratory Technician,2,Single,5914,9945,8,No,3
,33,No,Travel_Rarely,Research & Development,Master's Degree,1,305,Female,Research Scientist,2,Married,2622,13248,6,No,4
